datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC000515	Bacteria								
SBDI-ASV-191208	ASVBAC000518	Bacteria								
SBDI-ASV-191208	ASVBAC000557	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000569	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales					
SBDI-ASV-191208	ASVBAC000606	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000663	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000667	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC000694	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000865	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000873	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000879	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000936	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC000948	Bacteria	Cyanobacteriota	Cyanobacteriia						
SBDI-ASV-191208	ASVBAC001100	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC000111	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC001123	Bacteria	Cyanobacteriota	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	biceps		
SBDI-ASV-191208	ASVBAC001196	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia			
SBDI-ASV-191208	ASVBAC001289	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC001293	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC000130	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia	spumigena		
SBDI-ASV-191208	ASVBAC001323	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC000139	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia	spumigena		
SBDI-ASV-191208	ASVBAC001443	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC001507	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	LE011-02	sp1		
SBDI-ASV-191208	ASVBAC000151	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC000016	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC000160	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Cyanobium			
SBDI-ASV-191208	ASVBAC001615	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC001620	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	Synechococcus_C			
SBDI-ASV-191208	ASVBAC001645	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales_A	Cyanobiaceae	RCC307			
SBDI-ASV-191208	ASVBAC001709	Bacteria	Cyanobacteriota	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	biceps		
